"Low Wage, High Violation Industries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY2016,,,FY2015,,,FY2014,,,FY2013,,,FY2012,,,FY2011,,,FY2010,,,FY2009,,,FY2008,,,FY2007,,,FY2006,,,FY2005,,,FY2004,,,FY2003,,,FY2002,,,FY2001,,
,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees
Hotels and Motels,"1,129","$3,947,847 ","6,222",980,"$3,594,913 ","6,634","1,048","$4,039,113 ","7,417","1,245","$4,524,391 ","8,115","1,393","$4,965,579 ","8,720","1,122","$3,467,691 ","6,361",724,"$1,935,241 ","4,051",806,"$1,762,195 ","4,256",874,"$2,431,655 ","5,003",877,"$2,124,882 ","4,243",864,"$2,622,655 ","4,925","1,002","$2,883,158 ","5,324","1,044","$2,380,745 ","6,812",959,"$2,063,196 ","4,500","1,058","$2,207,958 ","4,422",958,"$1,744,971 ","4,050"
Janitorial Services,523,"$3,670,600 ","5,636",563,"$3,520,319 ","4,123",523,"$3,902,434 ","4,425",698,"$4,012,577 ","5,466",648,"$6,476,091 ","6,233",748,"$3,600,309 ","4,781",507,"$2,774,972 ","2,543",447,"$2,170,279 ","3,261",507,"$3,469,956 ","5,417",462,"$6,970,800 ","8,416",530,"$3,253,038 ","4,349",536,"$3,337,121 ","4,528",550,"$3,034,941 ","4,706",532,"$2,439,323 ","3,892",502,"$2,284,863 ","3,966",487,"$1,563,464 ","2,077"
Landscaping Services,294,"$3,051,189 ","3,058",257,"$2,182,134 ","2,930",322,"$3,708,711 ","2,743",410,"$3,513,961 ","3,814",365,"$2,823,321 ","3,652",252,"$2,605,203 ","3,521",207,"$2,247,412 ","2,774",197,"$1,269,812 ","1,718",291,"$1,597,544 ","2,752",219,"$3,084,804 ","4,414",199,"$1,788,491 ","1,720",270,"$1,496,389 ","1,999",251,"$1,202,234 ","2,219",215,"$947,509 ","1,693",207,"$615,267 ","1,286",204,"$1,154,697 ","1,233"
Retail,"3,011","$14,706,333 ","14,623","2,838","$12,540,892 ","14,472","2,924","$15,319,325 ","17,405","3,148","$15,607,230 ","17,956","3,564","$22,018,166 ","27,758","3,375","$16,735,878 ","18,104","2,930","$10,450,193 ","12,475","3,059","$10,964,645 ","19,772","3,412","$14,955,412 ","26,548","3,705","$43,521,686 ","112,219","4,083","$12,382,878 ","21,385","4,355","$10,688,437 ","15,783","4,923","$12,143,127 ","23,043","5,410","$17,854,059 ","84,874","5,301","$10,641,035 ","17,650","4,992","$9,018,018 ","17,503"
Temporary Help,477,"$3,711,452 ","6,382",392,"$2,443,858 ","5,279",368,"$3,915,498 ","6,009",360,"$3,226,420 ","6,312",355,"$2,703,614 ","4,626",255,"$1,189,104 ","5,115",238,"$1,676,467 ","2,524",216,"$5,982,453 ","8,937",309,"$1,945,163 ","3,368",355,"$1,809,143 ","1,947",397,"$1,060,895 ","3,198",381,"$1,619,940 ","2,826",472,"$3,310,664 ","6,016",372,"$1,195,642 ","5,311",386,"$1,504,833 ","3,898",396,"$1,104,227 ","2,760"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care **,"2,703","$17,540,910 ","25,018","2,585","$20,930,530 ","23,148","2,668","$22,986,636 ","27,126","2,882","$17,338,012 ","21,771","2,833","$18,805,818 ","27,730","2,676","$16,935,549 ","27,359","2,205","$18,242,441 ","26,745","2,045","$17,249,175 ","25,168","2,379","$18,169,359 ","24,045","2,600","$15,480,111 ","27,303","2,947","$15,156,828 ","31,055","3,069","$15,862,717 ","28,133","3,224","$14,535,606 ","26,454","3,408","$11,937,557 ","22,087","3,465","$13,748,616 ","29,907","3,516","$13,045,836 ","25,495"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Department of Labor, Wage and Hour Division ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
